Date,Price,Delta,%_Delta,Mkt_State
2015-12-01,372.53,8.55,-3.546023139076042,0
2015-12-02,359.32,-13.21,0.46198374707782064,1
2015-12-03,360.98,1.66,0.41830572330876803,1
2015-12-04,362.49,1.51,4.2014952136610715,1
2015-12-05,377.72,15.23,3.2616753150481816,1
2015-12-06,390.04,12.32,0.0,0
2015-12-07,390.04,0.0,1.4203671418315975,1
2015-12-08,395.58,5.54,-0.14914808635420776,0
2015-12-09,394.99,-0.58999999999997,4.81531178004506,1
2015-12-10,414.01,19.02,0.39371029685273196,1
2015-12-11,415.64,1.63,6.892984313348099,1
2015-12-12,444.29,28.65,-4.103175853609133,0
2015-12-13,426.06,-18.23,2.987842087968835,1
2015-12-14,438.79,12.73,1.5519952596914246,1
2015-12-15,445.6,6.81,3.1149012567324945,1
2015-12-16,459.48,13.88,-1.0990685122312203,0
2015-12-17,454.43,-5.05,-0.22885812996501562,0
2015-12-18,453.39,-1.04,1.2263172985729731,1
2015-12-19,458.95,5.56,0.4815339361586309,1
2015-12-20,461.16,2.21,-5.676988463873712,0
2015-12-21,434.98,-26.18,0.8552117338728149,1
2015-12-22,438.7,3.72,-0.620013676772275,0
2015-12-23,435.98,-2.72,1.2431762924904717,1
2015-12-24,441.4,5.42,2.8432260987766225,1
2015-12-25,453.95,12.55,0.22689723537835216,1
2015-12-26,454.98,1.03,-8.130027693524992,0
2015-12-27,417.99,-36.99,0.11244288140863906,1
2015-12-28,418.46,0.46999999999997,1.3191224967738946,1
2015-12-29,423.98,5.52,1.6864003019010276,1
2015-12-30,431.13,7.15,-0.7259991185953182,0
2015-12-31,428.0,-3.13,0.31308411214952686,1
2016-01-01,429.34,1.34,0.69641775748824,1
2016-01-02,432.33,2.99,0.3724007124187574,1
2016-01-03,433.94,1.61,-1.3388947780799194,0
2016-01-04,428.13,-5.81,1.1375049634456835,1
2016-01-05,433.0,4.87,-0.2540415704388043,0
2016-01-06,431.9,-1.1,-0.2662653391988834,0
2016-01-07,430.75,-1.15,5.33023795705165,1
2016-01-08,453.71,22.96,-1.4701020475634126,0
2016-01-09,447.04,-6.67,0.6956871868289094,1
2016-01-10,450.15,3.11,-0.8685993557702918,0
2016-01-11,446.24,-3.91,0.19496235209752702,1
2016-01-12,447.11,0.87,-0.10064637337567682,0
2016-01-13,446.66,-0.44999999999999,-3.8261765100971727,0
2016-01-14,429.57,-17.09,0.5424028679842596,1
2016-01-15,431.9,2.33,-9.326232924288023,0
2016-01-16,391.62,-40.28,-5.418517951075029,0
2016-01-17,370.4,-21.22,4.063174946004323,1
2016-01-18,385.45,15.05,-0.04410429368271265,0
2016-01-19,385.28,-0.17000000000002,-1.7182308970099534,0
2016-01-20,378.66,-6.6199999999999,7.835525273332266,1
2016-01-21,408.33,29.67,-0.08081698626110845,0
2016-01-22,408.0,-0.32999999999998,-5.465686274509806,0
2016-01-23,385.7,-22.3,0.7259528130671536,1
2016-01-24,388.5,2.8,4.1827541827541825,1
2016-01-25,404.75,16.25,-4.363187152563317,0
2016-01-26,387.09,-17.66,1.8161151153478596,1
2016-01-27,394.12,7.03,0.08373084339794583,1
2016-01-28,394.45,0.32999999999998,-3.0447458486500167,0
2016-01-29,382.44,-12.01,-1.3544608304570669,0
2016-01-30,377.26,-5.18,0.2597677993956471,1
2016-01-31,378.24,0.98000000000002,-0.3648477157360394,0
2016-02-01,376.86,-1.38,-1.2896035663111005,0
2016-02-02,372.0,-4.86,0.39784946236559626,1
2016-02-03,373.48,1.48,-1.3655349684052753,0
2016-02-04,368.38,-5.1,4.527933112546829,1
2016-02-05,385.06,16.68,0.37137069547603146,1
2016-02-06,386.49,1.43,-3.4800382933581693,0
2016-02-07,373.04,-13.45,0.18764743727213934,1
2016-02-08,373.74,0.69999999999999,0.5511853159950774,1
2016-02-09,375.8,2.06,-0.8488557743480568,0
2016-02-10,372.61,-3.19,1.7095622769115173,1
2016-02-11,378.98,6.37,-0.5884215525885319,0
2016-02-12,376.75,-2.23,1.2501658925016534,1
2016-02-13,381.46,4.71,1.871755885282872,1
2016-02-14,388.6,7.14,3.546062789500765,1
2016-02-15,402.38,13.78,0.0646155375515659,1
2016-02-16,402.64,0.25999999999999,1.0058613153188982,1
2016-02-17,406.69,4.05,2.7908234773414695,1
2016-02-18,418.04,11.35,0.22246674959334198,1
2016-02-19,418.97,0.93000000000001,-0.22674654509870526,0
2016-02-20,418.02,-0.95000000000005,5.133725659059384,1
2016-02-21,439.48,21.46,-1.0944752889778835,0
2016-02-22,434.67,-4.81,0.8811282122069579,1
2016-02-23,438.5,3.83,-4.903078677309008,0
2016-02-24,417.0,-21.5,1.4628297362110367,1
2016-02-25,423.1,6.1,-0.40179626565824755,0
2016-02-26,421.4,-1.7,0.6976744186046506,1
2016-02-27,424.34,2.94,1.8051562426356285,1
2016-02-28,432.0,7.66,0.3402777777777841,1
2016-02-29,433.47,1.47,0.6251874408840241,1
2016-03-01,436.18,2.71,-0.9881241689210881,0
2016-03-02,431.87,-4.31,-0.43531618311065723,0
2016-03-03,429.99,-1.88,-1.9884183353101261,0
2016-03-04,421.44,-8.55,-1.1769172361427438,0
2016-03-05,416.48,-4.96,-3.7168651555897085,0
2016-03-06,401.0,-15.48,1.9600997506234448,1
2016-03-07,408.86,7.86,0.7533140928435123,1
2016-03-08,411.94,3.08,0.10923920959362739,1
2016-03-09,412.39,0.44999999999999,0.17216712335411538,1
2016-03-10,413.1,0.71000000000004,0.7020091987412194,1
2016-03-11,416.0,2.9,1.254807692307699,1
2016-03-12,421.22,5.22,-2.0844214424766223,0
2016-03-13,412.44,-8.78,0.35156628842982945,1
2016-03-14,413.89,1.45,0.2150329797772322,1
2016-03-15,414.78,0.88999999999999,0.0,0
2016-03-16,414.78,0.0,0.2917209122908618,1
2016-03-17,415.99,1.21,0.6370345440996124,1
2016-03-18,418.64,2.65,-2.3337473724441002,0
2016-03-19,408.87,-9.77,-0.8022109717025043,0
2016-03-20,405.59,-3.28,1.277151803545454,1
2016-03-21,410.77,5.18,-0.06816466635829606,0
2016-03-22,410.49,-0.27999999999997,1.1839508879631693,1
2016-03-23,415.35,4.86,0.5898639701456575,1
2016-03-24,417.8,2.45,-0.31833413116323217,0
2016-03-25,416.47,-1.33,-0.007203400004809363,0
2016-03-26,416.44,-0.03000000000003,-0.17529536067621224,0
2016-03-27,415.71,-0.73000000000002,2.667725096822312,1
2016-03-28,426.8,11.09,-0.8997188378631752,0
2016-03-29,422.96,-3.84,-2.1184036315490777,0
2016-03-30,414.0,-8.96,-0.39855072463767566,0
2016-03-31,412.35,-1.65,1.1131320480174547,1
2016-04-01,416.94,4.59,-0.16549143761692275,0
2016-04-02,416.25,-0.69,0.4372372372372356,1
2016-04-03,418.07,1.82,0.0,0
2016-04-04,418.07,0.0,0.22005884182075153,1
2016-04-05,418.99,0.92000000000002,0.6635003222033874,1
2016-04-06,421.77,2.78,-0.16122531237404436,0
2016-04-07,421.09,-0.68000000000001,-0.18048398204659122,0
2016-04-08,420.33,-0.75999999999999,0.4448885399567018,1
2016-04-09,422.2,1.87,-1.058739933680713,0
2016-04-10,417.73,-4.47,0.9336174083738245,1
2016-04-11,421.63,3.9,-0.22294428764556548,0
2016-04-12,420.69,-0.94,1.2360645606028164,1
2016-04-13,425.89,5.2,-0.30054708962407495,0
2016-04-14,424.61,-1.28,-0.20018369798168265,0
2016-04-15,423.76,-0.85000000000002,1.2577874268453804,1
2016-04-16,429.09,5.33,0.07923745601156677,1
2016-04-17,429.43,0.34000000000003,-0.8662645832848258,0
2016-04-18,425.71,-3.72,0.3687956590166999,1
2016-04-19,427.28,1.57,2.019752855270561,1
2016-04-20,435.91,8.6300000000001,1.4750751301874125,1
2016-04-21,442.34,6.4299999999999,1.9577700411448264,1
2016-04-22,451.0,8.66,-0.8314855875831486,0
2016-04-23,447.25,-3.75,0.9032979318054825,1
2016-04-24,451.29,4.04,1.7970706197788464,1
2016-04-25,459.4,8.11,0.9708315193731033,1
2016-04-26,463.86,4.46,0.8881990255680603,1
2016-04-27,467.98,4.12,-4.4168554211718485,0
2016-04-28,447.31,-20.67,0.601372649840155,1
2016-04-29,450.0,2.69,1.3688888888888944,1
2016-04-30,456.16,6.16,-1.9707997193967048,0
2016-05-01,447.17,-8.99,1.0577632667665455,1
2016-05-02,451.9,4.73,-1.7703031644169065,0
2016-05-03,443.9,-8.0,1.5904482991664795,1
2016-05-04,450.96,7.06,-0.7960794748979899,0
2016-05-05,447.37,-3.59,0.2548226300377733,1
2016-05-06,448.51,1.14,2.7647098169494626,1
2016-05-07,460.91,12.4,-0.40571912086958506,0
2016-05-08,459.04,-1.87,-0.26577204600906834,0
2016-05-09,457.82,-1.22,0.8322047966449702,1
2016-05-10,461.63,3.81,-2.5193336654896767,0
2016-05-11,450.0,-11.63,0.5577777777777757,1
2016-05-12,452.51,2.51,0.4839672051446372,1
2016-05-13,454.7,2.19,0.46624147789751585,1
2016-05-14,456.82,2.12,-0.2561183836084269,0
2016-05-15,455.65,-1.17,0.3138373751783182,1
2016-05-16,457.08,1.43,-0.4813161809748816,0
2016-05-17,454.88,-2.2,-0.43747801618009347,0
2016-05-18,452.89,-1.99,0.002208041687825058,1
2016-05-19,452.9,0.0099999999999909,-2.435416206668133,0
2016-05-20,441.87,-11.03,-0.140312761671986,0
2016-05-21,441.25,-0.62,0.5983002832861158,1
2016-05-22,443.89,2.64,-1.3269053143796856,0
2016-05-23,438.0,-5.89,0.9520547945205515,1
2016-05-24,442.17,4.17,0.7169188321233821,1
2016-05-25,445.34,3.17,0.583823595455163,1
2016-05-26,447.94,2.6,1.0157610394249255,1
2016-05-27,452.49,4.55,3.9337885920130855,1
2016-05-28,470.29,17.8,11.0867762444449,1
2016-05-29,522.43,52.14,-1.9658136018222505,0
2016-05-30,512.16,-10.27,2.5363167760074994,1
2016-05-31,525.15,12.99,1.1425307055127107,1
2016-06-01,531.15,6.0,1.5664125011767016,1
2016-06-02,539.47,8.3200000000001,0.09639090218176762,1
2016-06-03,539.99,0.51999999999998,5.187133095057314,1
2016-06-04,568.0,28.01,1.0105633802816918,1
2016-06-05,573.74,5.74,0.04880259350925031,1
2016-06-06,574.02,0.27999999999997,1.8257203581756765,1
2016-06-07,584.5,10.48,-1.1907613344739156,0
2016-06-08,577.54,-6.96,0.19738892544239126,1
2016-06-09,578.68,1.14,-0.5851010057371806,0
2016-06-10,575.2941375,-3.3858624999999,0.39210159689833607,1
2016-06-11,577.549875,2.2557375,2.9244422397286445,1
2016-06-12,594.4399875,16.8901125,11.844175018592598,1
2016-06-13,664.8465,70.4065125,5.598284716848179,1
2016-06-14,702.0665,37.22,-2.396710283142695,0
2016-06-15,685.24,-16.8265,1.027377269277912,1
2016-06-16,692.28,7.04,10.13318310510198,1
2016-06-17,762.43,70.15,-2.429075456107444,0
2016-06-18,743.91,-18.52,1.4047398206772386,1
2016-06-19,754.36,10.45,0.85502942891987,1
2016-06-20,760.81,6.4499999999999,-4.156096791577384,0
2016-06-21,729.19,-31.62,-8.672636761337923,0
2016-06-22,665.95,-63.24,-11.787671747128162,0
2016-06-23,587.45,-78.5,6.313728827985346,1
2016-06-24,624.54,37.09,5.7738495532712175,1
2016-06-25,660.6,36.06,0.6509234029669928,1
2016-06-26,664.9,4.3,-5.6414498420815145,0
2016-06-27,627.39,-37.51,3.077830376639739,1
2016-06-28,646.7,19.31,-0.05102829751044393,0
2016-06-29,646.37,-0.33000000000004,-1.3026594674876555,0
2016-06-30,637.95,-8.42,5.243357629908289,1
2016-07-01,671.4,33.45,0.5630026809651434,1
2016-07-02,675.18,3.78,3.9293225510234437,1
2016-07-03,701.71,26.53,-6.170640292998542,0
2016-07-04,658.41,-43.3,2.7201895475463744,1
2016-07-05,676.32,17.91,-1.4549325762952494,0
2016-07-06,666.48,-9.84,1.0953066858720373,1
2016-07-07,673.78,7.3,-5.555225741339896,0
2016-07-08,636.35,-37.43,3.645792409837343,1
2016-07-09,659.55,23.2,-1.1659464786596834,0
2016-07-10,651.86,-7.6899999999999,-0.5783450434142272,0
2016-07-11,648.09,-3.77,-0.016972951287631908,0
